月份,發生地點,死亡人數,存活人數,車種,經度,緯度
01月 ,Yunlin,1,0,普通重型-機車;自用-大貨車,120.362461,23.77391
01月 ,Taoyuan,1,0,營業用-小貨車(含客、貨兩用);普通重型-機車,121.197179,24.974831
01月 ,Taipei,1,0,行人-人;自用-小客車,121.533421,24.992131
01月 ,Taipei,1,0,普通重型-機車,121.426018,24.968611
01月 ,Nantou,1,1,自用-小客車;乘客-人,120.93979,23.792636
01月 ,Taoyuan,1,0,普通重型-機車,121.370182,25.009348
01月 ,Pingtung,1,0,自用-小貨車;大型重型-機車,120.50263,22.773861
01月 ,Pingtung,1,0,普通重型-機車,120.82641,22.066582
01月 ,Tainan,1,1,普通重型-機車;自用-大貨車;自用-大貨車;自用-大貨車;乘客-人,120.221618,23.081927
01月 ,Tainan,1,0,自用-小客車;自用-小客車,120.281982,23.090604
01月 ,Hsinchu,1,2,自用-小客車;自用-小貨車;自用-小客車;乘客-人,121.183234,24.787641
01月 ,Kaohsiung,1,0,營業用-曳引車;普通重型-機車,120.267464,22.822911
01月 ,Kaohsiung,1,0,普通重型-機車,120.282028,22.761395
01月 ,Yunlin,1,0,腳踏自行車-慢車;自用-小客車,120.368451,23.756927
01月 ,Tainan,1,0,自用-小客車;普通重型-機車,120.2101,23.096681
01月 ,Tainan,1,0,普通重型-機車,120.186132,22.955838
01月 ,Tainan,1,0,普通重型-機車,120.268873,22.969587
01月 ,Nantou,1,2,普通重型-機車;普通重型-機車;乘客-人,120.695962,23.836941
01月 ,Tainan,1,0,自用-小客車;普通重型-機車,120.260442,22.991141
01月 ,Taoyuan,1,0,自用-小貨車;腳踏自行車-慢車,121.242697,25.071579
01月 ,Tainan,1,0,營業用-大貨車;行人-人,120.258123,23.025031
01月 ,Taoyuan,1,0,普通重型-機車,121.060668,24.938223
01月 ,Taipei,1,0,普通重型-機車,121.342746,24.961503
01月 ,Taichung,1,0,計程車-小客車;行人-人,120.644295,24.166462
01月 ,Changhua,1,0,農耕用車(或機械)-其他車,120.634478,23.992982
01月 ,Taoyuan,1,0,行人-人;自用-小客車,121.141905,25.04649
01月 ,Pingtung,1,1,自用-大貨車;行人-人;普通重型-機車;普通重型-機車,120.498534,22.688915
01月 ,Yunlin,1,0,自用-小客車,120.404245,23.726492
01月 ,Yunlin,1,0,自用-小貨車;普通重型-機車,120.568867,23.767712
01月 ,Yunlin,1,1,普通重型-機車;普通重型-機車,120.423694,23.699277
01月 ,Taipei,1,0,普通重型-機車,121.527472,25.013183
01月 ,Taipei,1,0,自用-小貨車;普通重型-機車,121.622037,25.004816
01月 ,Taipei,1,0,自用-小貨車;普通重型-機車,121.42853,24.969319
01月 ,Taichung,1,0,自用-小貨車;普通重型-機車,120.73097,24.23753
01月 ,Nantou,1,1,行人-人;普通重型-機車,120.688073,23.991751
01月 ,Yunlin,1,0,普通重型-機車;自用-小客車,120.447399,23.731014
01月 ,Tainan,1,0,自用-小客車,120.30307,23.280175
01月 ,Tainan,1,0,營業用-大貨車;行人-人,120.182708,23.234414
01月 ,Changhua,1,0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.49318,24.170913
01月 ,Kaohsiung,1,0,普通重型-機車;自用-小客車,120.433113,22.723888
01月 ,Tainan,1,1,自用-小貨車;乘客-人,120.334184,23.137403
01月 ,Taipei,1,0,普通重型-機車;自用-小貨車;普通重型-機車,121.484853,25.082933
01月 ,Chiayi,1,1,電動自行車-慢車;普通重型-機車,120.435069,23.45473
01月 ,Yilan,1,2,普通重型-機車;自用-小貨車;乘客-人,121.675614,24.676789
01月 ,Pingtung,1,0,普通重型-機車,120.504788,22.462323
01月 ,Taipei,1,0,自用-小客車;自用-小客車;行人-人,121.45654,25.09052
01月 ,Kaohsiung,1,1,普通重型-機車;自用-小客車;乘客-人,120.4334,22.72376
01月 ,Miaoli,1,1,大型重型-機車;乘客-人,120.892927,24.443518
01月 ,Tainan,1,1,自用-小貨車;普通重型-機車;乘客-人,120.239389,22.988985
01月 ,Chiayi,1,0,普通重型-機車;自用-小客車,120.51151,23.403914
01月 ,Taipei,1,1,營業用-大貨車;自用-小貨車;自用-小客車;租賃車-小客車;乘客-人;乘客-人,121.334524,24.938709
01月 ,Yilan,1,0,普通重型-機車,121.779511,24.467098
01月 ,Kinmen,1,0,自用-小客車,118.431543,24.480513
01月 ,Taipei,1,1,營業用-曳引車;營業用-曳引車,121.367766,25.135696
01月 ,Hsinchu,1,0,普通重型-機車,120.979068,24.882118
01月 ,Hsinchu,1,0,公營客運-大客車;行人-人,120.969152,24.805852
01月 ,Kaohsiung,2,0,自用-小客車;乘客-人,120.289182,22.642825
01月 ,Tainan,1,2,普通重型-機車;乘客-人;乘客-人,120.282635,22.931674
01月 ,Hsinchu,1,0,自用-小客車;自用-小客車;自用-小客車;自用-小貨車;自用-小客車,121.195227,24.800152
01月 ,Tainan,1,0,行人-人;自用-小客車,120.257309,23.025988
01月 ,Tainan,1,1,普通重型-機車;普通重型-機車,120.199765,23.277166
01月 ,Taoyuan,1,0,普通重型-機車;租賃車-小客車;自用-小客車,121.154752,25.053188
01月 ,Yunlin,1,0,普通重型-機車,120.193402,23.657818
01月 ,Taitung,1,0,普通重型-機車;自用-大貨車,121.010849,22.622029
01月 ,Pingtung,1,0,普通重型-機車,120.621545,22.610855
01月 ,Tainan,1,2,普通重型-機車;民營公車-大客車;乘客-人,120.150653,22.995121
01月 ,Pingtung,1,2,普通重型-機車;自用-小客車;乘客-人,120.637879,22.690358
01月 ,Hualien,1,0,腳踏自行車-慢車;自用-小客車,121.392149,23.49353
01月 ,Yunlin,1,0,普通重型-機車,120.40338,23.817935
01月 ,Taichung,1,0,普通重型-機車,120.65415,24.038673
01月 ,Tainan,1,0,自用-小客車;行人-人,120.327994,23.213424
01月 ,Taichung,1,0,普通重型-機車,120.733205,24.169225
01月 ,Kaohsiung,1,0,自用-小貨車;行人-人,120.300289,22.612522
01月 ,Taitung,1,0,普通重型-機車;自用-小貨車,121.559025,22.079766
01月 ,Tainan,1,0,普通重型-機車;自用-小貨車,120.275565,23.030466
01月 ,Kaohsiung,1,1,普通重型-機車;普通重型-機車;自用-小客車;租賃車-小客車,120.3957,22.63511
01月 ,Hsinchu,1,0,自用-小客車;普通重型-機車,120.975391,24.821754
01月 ,Pingtung,1,0,普通重型-機車,120.762249,21.959358
