月份,發生地點,死亡人數,存活人數,車種,經度,緯度
02月 ,Taoyuan,1,0,行人-人;自用-小貨車;自用-小客車,121.094851,24.974224
02月 ,Taichung,1,0,自用-小客車;行人-人,120.663693,24.218526
02月 ,Changhua,1,0,腳踏自行車-慢車;自用-小客車,120.388985,23.907132
02月 ,Taipei,1,0,大型重型-機車,121.61467,25.063532
02月 ,Taipei,1,0,行人-人;民營公車-大客車,121.513567,25.06469
02月 ,Kaohsiung,1,1,普通重型-機車;普通重型-機車;自用-曳引車,120.430075,22.645565
02月 ,Chiayi,1,0,普通重型-機車;營業用-全聯結車,120.53276,23.462988
02月 ,Yunlin,1,0,普通重型-機車,120.37453,23.706407
02月 ,Taichung,1,0,營業用-曳引車;普通重型-機車;行人-人,120.698289,24.099003
02月 ,Yunlin,1,0,自用-小客車;普通重型-機車,120.254504,23.698552
02月 ,Taoyuan,1,3,普通重型-機車;乘客-人;乘客-人;乘客-人,121.199665,24.928757
02月 ,Tainan,1,0,普通重型-機車,120.214076,23.098024
02月 ,Hsinchu,1,0,自用-小客車,121.150992,24.811809
02月 ,Kaohsiung,1,0,普通重型-機車,120.558638,23.061431
02月 ,Kaohsiung,1,0,自用-小客車;普通重型-機車,120.4443,22.728
02月 ,Nantou,1,0,自用-小貨車;大型重型-機車,120.692529,23.979719
02月 ,Taitung,1,0,大型重型-機車,121.197815,22.856112
02月 ,Hsinchu,1,1,普通輕型-機車;自用-小客車;乘客-人,120.933196,24.798456
02月 ,Tainan,1,1,普通重型-機車;自用-大貨車;乘客-人,120.176915,23.056186
02月 ,Pingtung,1,0,普通重型-機車,120.602105,22.634235
02月 ,Changhua,1,0,普通重型-機車;自用-大貨車,120.548271,23.969586
02月 ,Hualien,1,0,普通重型-機車,121.742516,24.273105
02月 ,Taichung,1,1,自用-小客車;普通重型-機車;乘客-人,120.696528,24.153163
02月 ,Taipei,1,0,自用-小客車,121.360028,25.100514
02月 ,Hsinchu,1,1,普通重型-機車;大型重型-機車,121.013215,24.835153
02月 ,Tainan,1,0,大型重型-機車,120.457019,23.236937
02月 ,Nantou,1,1,普通重型-機車;自用-大貨車;乘客-人,121.003461,23.977598
03月 ,Yunlin,1,0,自用-大貨車;普通重型-機車,120.439108,23.764163
03月 ,Taoyuan,1,0,普通重型-機車,121.258067,24.924933
03月 ,Taoyuan,1,0,腳踏自行車-慢車;自用-小客車,121.303514,25.026599
03月 ,Tainan,1,0,自用-小客車,120.499732,23.326151
03月 ,Kaohsiung,1,0,營業用-曳引車;普通重型-機車,120.384436,22.770737
03月 ,Taichung,1,0,普通重型-機車,120.632373,24.323856
03月 ,Taichung,1,0,普通重型-機車,120.71215,24.093953
03月 ,Pingtung,1,0,普通重型-機車;自用-小客車,120.594378,22.688523
03月 ,Taichung,1,0,自用-小貨車;普通重型-機車;遊覽車-大客車,120.663997,24.075449
03月 ,Nantou,1,1,普通重型-機車;自用-小客車;乘客-人,120.727337,23.98081
03月 ,Taipei,1,1,普通重型-機車;普通重型-機車,121.461328,25.036859
03月 ,Tainan,1,0,營業用-半聯結車;腳踏自行車-慢車,120.237895,23.183608
03月 ,Hualien,1,1,普通重型-機車;乘客-人,121.31089,23.271804
03月 ,Taoyuan,1,0,自用-大貨車;普通重型-機車,121.292538,25.006843
03月 ,Tainan,1,0,普通重型-機車;自用-小客車,120.38929,23.151364
03月 ,Yunlin,1,2,普通重型-機車;行人-人;乘客-人,120.300584,23.581262
03月 ,Kaohsiung,1,0,普通重型-機車,120.391683,22.495873
03月 ,Yunlin,1,0,普通重型-機車;自用-小貨車,120.204288,23.65081
03月 ,Kaohsiung,1,0,普通重型-機車;自用-大貨車,120.190537,22.87961
03月 ,Miaoli,1,1,普通重型-機車;行人-人,120.862887,24.698543
03月 ,Tainan,1,0,自用-小貨車;腳踏自行車-慢車,120.327678,22.955008
03月 ,Yilan,1,0,自用-小客車;普通重型-機車,121.790643,24.694592
03月 ,Tainan,1,0,普通重型-機車;自用-小貨車,120.355911,22.904987
03月 ,Chiayi,1,0,普通重型-機車,120.445257,23.48219
03月 ,Yunlin,1,0,腳踏自行車-慢車;營業用-大貨車,120.379305,23.667094
03月 ,Changhua,1,0,自用-小貨車;普通重型-機車,120.49163,24.121948
03月 ,Hsinchu,1,0,普通重型-機車,120.935694,24.802703
03月 ,Kaohsiung,1,0,普通重型-機車,120.343943,22.681755
03月 ,Taitung,1,0,普通重型-機車,121.106665,22.783861
03月 ,Nantou,1,1,普通重型-機車;自用-小客車;自用-小客車;自用-小客車;乘客-人,120.678253,23.987026
03月 ,Nantou,1,0,自用-小客車,120.91922,23.87532
03月 ,Kaohsiung,1,0,普通重型-機車;自用-大貨車,120.8468,23.26598
03月 ,Kaohsiung,1,0,自用-小客車;普通重型-機車,120.31718,22.722838
03月 ,Tainan,1,0,自用-大貨車;普通重型-機車,120.180579,23.234617
03月 ,Taitung,1,0,自用-小客車;普通重型-機車,121.095984,22.781152
03月 ,Taipei,1,0,普通重型-機車;計程車-小客車,121.567606,25.035825
03月 ,Taoyuan,1,0,普通重型-機車;自用-小客車,121.108977,24.994317
03月 ,Taipei,1,0,自用-小客車;行人-人,121.519729,25.091098
03月 ,Yunlin,1,1,普通重型-機車;乘客-人,120.310994,23.630367
03月 ,Yunlin,1,1,行人-人;普通重型-機車,120.299351,23.572635
03月 ,Taichung,1,0,自用-小客車;行人-人,120.722295,24.175928
03月 ,Kaohsiung,1,0,普通重型-機車,120.334864,22.794076
03月 ,Chiayi,1,0,普通輕型-機車;營業用-大貨車;普通重型-機車,120.435066,23.538769
03月 ,Nantou,1,1,自用-小客車;乘客-人,120.926177,23.913017
03月 ,Taoyuan,1,0,普通重型-機車;自用-小貨車,121.097389,24.924744
03月 ,Taoyuan,1,1,自用-小客車;乘客-人,121.194289,25.016494
03月 ,Hsinchu,1,0,普通重型-機車;營業用-大貨車;自用-小貨車,120.974677,24.812974
03月 ,Taichung,1,0,自用-小貨車;行人-人,120.727966,24.244573
03月 ,Taichung,1,0,普通重型-機車;自用-小貨車,120.632158,24.182925
03月 ,Pingtung,1,0,自用-小客車;行人-人,120.580891,22.744435
03月 ,Changhua,1,1,普通重型-機車;乘客-人,120.576664,23.860245
03月 ,Tainan,1,0,普通重型-機車,120.213342,23.116782
03月 ,Yunlin,1,0,普通重型-機車;行人-人,120.551511,23.629098
03月 ,Miaoli,1,0,遊覽車-大客車;腳踏自行車-慢車,120.946601,24.537784
03月 ,Yilan,1,0,普通重型-機車;自用-小客車,121.77222,24.645518
03月 ,Hualien,1,0,普通重型-機車;營業用-曳引車,121.641177,24.118583
03月 ,Taipei,1,0,自用-小客車;普通重型-機車,121.513227,25.097765
03月 ,Tainan,1,0,普通重型-機車;營業用-半聯結車,120.240936,23.049305
03月 ,Tainan,1,1,普通重型-機車;普通重型-機車,120.217885,22.918212
03月 ,Pingtung,1,0,普通重型-機車;營業用-曳引車,120.569845,22.815351
03月 ,Kaohsiung,1,1,普通重型-機車;普通重型-機車,120.297,22.64942
03月 ,Taipei,1,0,自用-大貨車;普通重型-機車,121.3373,24.972581
03月 ,Taichung,1,0,營業用-全聯結車;普通重型-機車,120.617143,24.153727
03月 ,Kaohsiung,1,0,自用-小客車,120.5544,22.88176
03月 ,Changhua,1,2,普通重型-機車;普通重型-機車;乘客-人,120.47388,24.019044
03月 ,Taipei,1,1,普通重型-機車;普通重型-機車,121.484274,25.088247
03月 ,Taichung,1,0,計程車-小客車;行人-人,120.674552,24.316902
03月 ,Tainan,1,0,自用-小客車;普通重型-機車,120.277396,22.988675
03月 ,Kaohsiung,1,0,自用-小客車;普通重型-機車,120.30152,22.62716
03月 ,Nantou,1,0,自用-大貨車;普通重型-機車,120.866945,23.98354
03月 ,Kaohsiung,1,0,腳踏自行車-慢車;自用-小客車,120.365646,22.550625
03月 ,Taoyuan,1,0,普通重型-機車;自用-小客車,121.252718,24.970195
03月 ,Taipei,1,1,行人-人;普通重型-機車,121.541167,24.962589
03月 ,Kaohsiung,1,0,自用-小客車,120.461669,22.810445
03月 ,Taipei,1,0,自用-小貨車;行人-人,121.43861,25.078531
03月 ,Changhua,1,1,普通重型-機車;普通重型-機車,120.382972,23.949461
03月 ,Miaoli,1,1,腳踏自行車-慢車;普通重型-機車,120.881339,24.691508
03月 ,Tainan,1,0,普通重型-機車;農耕用車(或機械)-其他車,120.208028,23.204973
03月 ,Taichung,1,0,自用-小客車;普通重型-機車,120.578565,24.17828
03月 ,Yunlin,1,0,普通重型-機車;營業用-大貨車,120.370029,23.787241
03月 ,Yunlin,1,0,自用-小客車;普通重型-機車;乘客-人,120.285238,23.567152
03月 ,Tainan,1,0,普通重型-機車,120.377783,23.237871
03月 ,Taipei,1,0,普通重型-機車,121.457766,25.097622
03月 ,Chiayi,1,0,自用-小客車,120.155094,23.372461
03月 ,Taoyuan,1,1,行人-人;普通重型-機車,121.250159,24.942276
03月 ,Tainan,1,0,普通重型-機車;計程車-小客車;自用-小客車,120.258045,23.01595
03月 ,Miaoli,1,0,普通重型-機車,120.881859,24.668704
03月 ,Taichung,1,0,自用-小客車;普通重型-機車,120.613687,24.332645
03月 ,Hualien,1,0,營業用-曳引車;自用-小貨車,121.633935,24.010743
03月 ,Pingtung,1,0,自用-小客車;腳踏自行車-慢車,120.514548,22.658324
03月 ,Taipei,1,0,民營客運-大客車;行人-人,121.635617,25.056589
03月 ,Tainan,1,1,普通重型-機車;乘客-人,120.133794,23.172835
03月 ,Taitung,1,0,拼裝車-其他車,121.05636,22.809871
03月 ,Chiayi,1,0,自用-小客車;普通重型-機車;乘客-人,120.334644,23.475227
03月 ,Taipei,1,0,普通重型-機車,121.417434,25.025266
03月 ,Hsinchu,1,0,自用-小客車,121.064308,24.78805
03月 ,Tainan,1,1,腳踏自行車-慢車;普通重型-機車,120.176013,23.165504
03月 ,Kaohsiung,1,0,自用-小客車;腳踏自行車-慢車,120.243261,22.801512
03月 ,Yunlin,1,0,自用-小客車;普通重型-機車,120.379424,23.733531
03月 ,Tainan,1,1,普通重型-機車;自用-小客車;自用-小客車,120.195527,22.936426
03月 ,Chiayi,1,0,自用-小客車;普通重型-機車,120.449913,23.605656
03月 ,Chiayi,1,0,普通重型-機車;自用-小貨車,120.217452,23.462786
03月 ,Taoyuan,1,0,普通重型-機車;自用-小客車,121.090537,25.006957
03月 ,Taichung,1,0,普通重型-機車,120.660085,24.156624
03月 ,Taichung,1,1,普通重型-機車;普通重型-機車;腳踏自行車-慢車,120.68592,24.175775
03月 ,Hsinchu,1,3,自用-小客車;普通重型-機車;行人-人;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通輕型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,120.97219,24.796981
03月 ,Taipei,1,2,營業用-全聯結車;自用-小貨車;自用-小客車;營業用-大貨車;自用-小貨車;自用-小客車;自用-小貨車;乘客-人,121.484655,24.989302
03月 ,Taipei,1,0,自用-小客車;普通重型-機車,121.44247,25.053583
03月 ,Taipei,1,1,普通重型-機車;乘客-人,121.453971,25.033547
03月 ,Taipei,2,0,普通重型-機車;大型重型-機車,121.339769,24.968094
03月 ,Taichung,2,0,營業用-曳引車;自用-小客車;乘客-人,120.544034,24.268443
03月 ,Kaohsiung,1,0,普通重型-機車,120.407674,22.587425
03月 ,Changhua,1,0,普通重型-機車,120.621844,24.049029
03月 ,Chiayi,1,0,普通重型-機車;租賃車-小客車,120.402462,23.610822
03月 ,Miaoli,1,0,普通重型-機車;自用-小客車,120.873951,24.690044
03月 ,Taichung,1,1,營業用-大貨車;普通重型-機車;乘客-人,120.703646,24.111538
03月 ,Taoyuan,1,0,自用-大貨車;普通重型-機車,121.372475,25.006809
03月 ,Taoyuan,1,2,普通重型-機車;普通重型-機車;乘客-人,121.248644,24.944069
03月 ,Taichung,1,1,普通重型-機車;行人-人,120.629006,24.292875
03月 ,Yunlin,1,0,普通重型-機車;自用-小客車,120.259377,23.751396
03月 ,Chiayi,2,0,自用-小貨車;乘客-人,120.690028,23.49474
03月 ,Taitung,1,1,營業用-半聯結車;普通重型-機車;乘客-人,121.160554,22.754378
03月 ,Pingtung,1,1,自用-小貨車;自用-小客車;乘客-人,120.49033,22.740429
03月 ,Taipei,1,0,自用-曳引車;自用-小貨車,121.436541,25.072749
03月 ,Tainan,1,0,自用-小客車;普通重型-機車,120.314304,23.157228
03月 ,Kaohsiung,1,1,普通重型-機車;自用-小貨車,120.220185,22.820284
03月 ,Pingtung,1,1,普通重型-機車;自用-大貨車;乘客-人,120.571405,22.753841
03月 ,Yilan,1,1,行人-人;普通重型-機車,121.738271,24.328915
03月 ,Kaohsiung,1,0,行人-人;計程車-小客車,120.356919,22.624374
03月 ,Yilan,2,1,自用-小客車;自用-小客車;營業用-大貨車;行人-人,121.82201,24.700758
03月 ,Kaohsiung,1,0,普通重型-機車;自用-小客車;自用-小貨車,120.612694,22.879804
03月 ,Kaohsiung,1,0,電動輔助自行車-慢車;自用-小客車,120.302152,22.613147
03月 ,Yunlin,1,1,普通重型-機車;普通重型-機車,120.293448,23.717285
03月 ,Kaohsiung,1,0,普通重型-機車;自用-小客車,120.422961,22.727439
03月 ,Taipei,1,0,自用-小客車,121.528716,24.997209
03月 ,Taoyuan,1,0,普通重型-機車;自用-小客車,121.32672,25.078736
03月 ,Hualien,1,0,普通重型-機車;自用-小貨車;自用-小客車,121.604804,24.024998
03月 ,Taitung,1,0,行人-人;自用-小客車,120.88229,22.294061
03月 ,Hsinchu,1,0,普通重型-機車,120.954678,24.878309
03月 ,Yilan,2,3,普通重型-機車;普通重型-機車;乘客-人;乘客-人;乘客-人,121.802893,24.770498
03月 ,Taichung,1,0,自用-小客車;行人-人,120.655328,24.158488
03月 ,Changhua,1,1,普通重型-機車;普通重型-機車,120.606231,24.089746
03月 ,Taipei,1,0,計程車-小客車;普通重型-機車,121.540434,25.051854
03月 ,Pingtung,1,0,自用-小貨車;普通重型-機車,120.49518,22.70589
03月 ,Penghu,1,0,自用-小客車;行人-人,119.576384,23.571661
03月 ,Pingtung,2,1,自用-小客車;自用-小客車;乘客-人,120.460301,22.536426
03月 ,Yunlin,1,1,自用-大貨車;普通重型-機車;乘客-人,120.248743,23.74927
03月 ,Taichung,1,5,自用-小客車;大型重型-機車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,120.559932,24.241163
04月 ,Chiayi,1,0,營業用-曳引車;普通重型-機車,120.237202,23.37873
04月 ,Tainan,1,1,普通重型-機車;行人-人,120.169957,23.000949
04月 ,Tainan,1,1,營業用-半聯結車;普通重型-機車;自用-小客車;乘客-人,120.186722,22.988049
04月 ,Hsinchu,1,0,自用-小客車;普通重型-機車,120.940715,24.835658
04月 ,Chiayi,1,3,自用-小客車;乘客-人;乘客-人;乘客-人,120.237138,23.335402
04月 ,Miaoli,1,0,普通重型-機車;自用-小客車,120.945122,24.618257
04月 ,Tainan,1,0,普通重型-機車,120.293159,23.308042
04月 ,Hsinchu,2,1,自用-小客車;營業用-大貨車;乘客-人,120.981795,24.909408
04月 ,Keelung,1,1,自用-小貨車;乘客-人;乘客-人,121.73455,25.104877
04月 ,Yunlin,1,0,普通重型-機車,120.559855,23.747103
04月 ,Pingtung,1,0,自用-大貨車;普通重型-機車,120.512992,22.777255
04月 ,Hsinchu,1,0,自用-小客車;普通重型-機車,121.093084,24.736888
04月 ,Tainan,1,0,普通重型-機車;自用-小客車,120.380561,23.267939
04月 ,Yunlin,1,0,普通重型-機車;自用-小貨車,120.238271,23.755716
04月 ,Hsinchu,1,0,自用-小客車;普通重型-機車,120.984222,24.836584
04月 ,Tainan,1,1,普通輕型-機車;腳踏自行車-慢車,120.193275,22.993585
04月 ,Chiayi,1,0,普通重型-機車,120.166829,23.335165
04月 ,Chiayi,1,0,自用-小客車,120.3926,23.494608
04月 ,Chiayi,1,0,普通重型-機車,120.461497,23.513809
